year,month,location_period_id,sm
2009,11,15121,34.136364
2009,11,15150,62.285713
2009,11,15154,7.4411764
2009,11,15169,1.0
2009,11,15175,9.727273
2009,11,15179,4.253012
2009,11,15182,19.0
2009,11,15183,38.923077
2009,11,15195,32.714287
2009,11,15196,23.735294
2009,11,15197,18.0
2009,11,15200,13.333333
2009,11,15218,10.5
2009,11,15226,31.5
2009,11,15232,6.6666665
2009,11,15331,10.5
2009,11,15334,10.423077
2009,11,15335,6.2608695
2009,11,15337,14.233334
2009,11,15345,11.083333
2009,11,15347,11.16279
2009,11,15349,12.301587
2009,11,15356,38.75
2009,11,15366,10.162162
2009,11,15378,20.969696
2009,11,15413,6.827586
2009,11,15426,14.612904
2009,11,15506,8.445137
2009,11,15510,12.0
2009,11,15511,14.384615
2009,11,15543,14.36
2009,11,16613,3.4
2009,11,16615,25.384615
2009,11,16616,3.1269035
2009,11,16618,2.1092896
2009,11,16619,4.937888
2009,11,16620,3.3217392
2009,11,16622,10.965616
2009,11,16623,9.20354
2009,11,16624,3.9425287
2009,11,16625,5.022814
2009,11,16627,2.2844827
2009,11,16631,6.0987654
2009,11,16632,5.602094
2009,11,16634,2.804878
2009,11,16635,13.552238
2009,11,16636,2.9302325
2009,11,16637,5.55
2009,11,16638,3.15
2009,11,16639,3.8333333
2009,11,16640,3.0769231
2009,11,16643,3.9673913
2009,11,16644,2.840909
2009,11,16646,3.4461539
2009,11,16648,2.25
2009,11,16649,1.1489362
2009,11,16650,3.3809524
2009,11,16651,3.5494506
2009,11,16652,20.423729
2009,11,16653,1.5714285
2009,11,16654,4.1
2009,11,16655,2.9066668
2009,11,16656,1.9830508
2009,11,16659,31.875
2009,11,16662,13.942857
2009,11,16673,14.859649
2009,11,16674,3.857143
2009,11,16675,28.859814
2009,11,16677,22.476868
2009,11,16679,12.1
2009,11,16681,1.0327868
2009,11,16685,30.509434
2009,11,16686,4.974359
2009,11,16687,8.712
2009,11,16691,1.5675676
2009,11,16694,7.427711
2009,11,16697,20.528736
2009,12,92,25.692308
2009,12,1162,37.0
2009,12,1343,2.3030303
2009,12,1355,9.142858
2009,12,1842,14.213115
2009,12,1919,52.657143
2009,12,2425,29.277779
2009,12,2428,31.431372
2009,12,2520,0.29166666
2009,12,2797,3.625
2009,12,2832,48.96154
2009,12,3170,4.137931
2009,12,3223,26.246754
2009,12,3331,52.5
2009,12,3559,37.74359
2009,12,3704,19.826086
2009,12,3800,7.4835167
2009,12,4463,23.5
2009,12,5445,14.0
2009,12,5537,38.714287
2009,12,5624,2.3043478
2009,12,5853,10.038822
2009,12,6340,44.166668
2009,12,6401,22.133333
2009,12,7188,16.307692
2009,12,7511,21.715054
2009,12,8311,36.0
2009,12,8536,34.42105
2009,12,8667,9.714286
2009,12,9661,13.142858
2009,12,9969,18.5
2009,12,10064,17.381355
2009,12,10067,49.441177
2009,12,10288,3.4736843
2009,12,10519,0.26086956
2009,12,10529,22.918919
2009,12,10686,18.724138
2009,12,10860,22.833334
2009,12,11099,56.0
2009,12,11259,21.25
2009,12,11484,50.909092
2009,12,11511,56.805557
2009,12,11521,10.938931
2009,12,11531,22.5
2009,12,11532,21.207273
2009,12,11536,4.8816566
2009,12,11565,44.75
2009,12,11626,20.333334
2009,12,11655,31.785715
2009,12,11718,50.717392
2009,12,11720,45.125
2009,12,11785,38.88889
2009,12,12084,11.157895
2009,12,12091,12.0
2009,12,12092,3.8666666
2009,12,12093,12.5
2009,12,12096,18.0
2009,12,12099,10.26087
2009,12,12105,10.0
2009,12,12109,13.5
2009,12,12112,2.5
2009,12,12122,6.3333335
2009,12,12124,1.0
2009,12,12125,10.8
2009,12,12130,7.5
2009,12,12140,5.181818
2009,12,12142,19.38889
2009,12,12154,24.625
2009,12,12155,26.75
2009,12,12165,13.0
2009,12,12229,5.0
2009,12,12230,28.6
2009,12,12235,6.75
2009,12,12236,5.0
2009,12,12242,4.75
2009,12,12281,14.0
2009,12,12283,9.25
2009,12,12284,13.058824
2009,12,12285,13.454545
2009,12,12286,16.675676
2009,12,12287,12.8125
2009,12,12293,15.291667
2009,12,12294,9.611111
2009,12,12297,11.333333
2009,12,12298,15.857142
2009,12,12299,7.5405407
2009,12,12307,16.5
2009,12,12314,17.142857
2009,12,12317,16.714285
2009,12,12318,17.0
2009,12,12323,11.591837
2009,12,12324,6.5833335
2009,12,12325,14.6
2009,12,12334,17.25
2009,12,12425,13.3125
2009,12,12426,16.157894
2009,12,12458,9.2
2009,12,12459,5.0
2009,12,12460,12.0
2009,12,12462,6.0
2009,12,12463,1.5
2009,12,12464,2.1666667
2009,12,12466,3.8888888
2009,12,12467,4.3333335
2009,12,12470,10.0
2009,12,12501,5.3333335
2009,12,12512,13.111111
2009,12,12532,16.0
2009,12,12535,8.0
2009,12,12562,15.235294
2009,12,12563,36.714287
2009,12,12570,24.127274
2009,12,12629,8.0
2009,12,12636,9.0
2009,12,12690,15.0
